Country,ActorName,ActorType,AffiliationTo,AffiliationStartDate,AffiliationEndDate,Aliases
Albania,Et'hem Ruka,Individual,"Ministry of Labor, Social Affairs, and Equal Opportunities",2/22/2002,7/30/2002,Et'Hem Ruka ; E. Ruka ; E Ruka
Albania,Et'hem Ruka,Individual,Socialist Party of Albania,BOT,EOT,Et'Hem Ruka ; E. Ruka ; E Ruka
Albania,Fatmir Mediu,Individual,Elite (Albania),9/11/2005,EOT,Fatmir Mediu
Albania,Fatmir Mediu,Individual,State-Owned Defense / Security (Albania),9/11/2005,3/28/2008,Fatmir Mediu
Albania,Fatmir Meta,Individual,Criminals / Gangs (Albania),BOT,EOT,F. Meta ; Fatmir Meta ; F Meta
Albania,Fatmir Xhafa,Individual,Cabinet (Albania),2/22/2002,9/11/2005,Fatmir Xhafa ; Fatmir Xhafaj
Albania,Fatmir Xhafa,Individual,Government (Ministry of Justice),12/29/2003,9/11/2005,Fatmir Xhafa ; Fatmir Xhafaj
Albania,Fatmir Xhafa,Individual,Ministry of Territory Planning and Tourism,2/22/2002,12/28/2003,Fatmir Xhafa ; Fatmir Xhafaj
Albania,Fatmir Xhafa,Individual,Socialist Party of Albania,BOT,EOT,Fatmir Xhafa ; Fatmir Xhafaj
Albania,Fatmir Zaloshnja,Individual,Elite (Albania),5/12/1991,EOT,Fatmir Zaloshnja
Albania,Fatmir Zaloshnja,Individual,Justice / Law Ministry (Albania),5/12/1991,6/11/1991,Fatmir Zaloshnja
Albania,Fatos Nano,Individual,Assembly of the Republic of Albania,1/1/1997,1/1/2007,Fatos Nano ; Prime Minister Nano
Albania,Fatos Nano,Individual,Elite (Albania),BOT,EOT,Fatos Nano ; Prime Minister Nano
Albania,Fatos Nano,Individual,Executive Office (Albania),2/22/1991,6/5/1991,Fatos Nano ; Prime Minister Nano
Albania,Fatos Nano,Individual,Executive Office (Albania),7/24/1997,10/2/1998,Fatos Nano ; Prime Minister Nano
Albania,Fatos Nano,Individual,Executive Office (Albania),7/31/2002,9/11/2005,Fatos Nano ; Prime Minister Nano
Albania,Fatos Nano,Individual,Socialist Party of Albania,6/1/1991,EOT,Fatos Nano ; Prime Minister Nano
Albania,Fatri Sinani,Individual,Albanian-Turkish Parliamentary Friendship Group,BOT,EOT,F. Sinani ; F Sinani ; Fatri Sinani
Albania,Flamur Noka,Individual,Ministry of Interior Affairs,7/3/2012,9/14/2013,Flamur Noka
Albania,Fotaq Nano,Individual,Central Electoral Commission,6/1/2000,1/29/2001,F. Nano ; Fotaq Nano ; F Nano
Albania,Gazmend Oketa,Individual,Elite (Albania),3/28/2008,EOT,Gazmend Oketa
Albania,Gazmend Oketa,Individual,State-Owned Defense / Security (Albania),3/28/2008,9/17/2009,Gazmend Oketa
Albania,Genc Ruli,Individual,Elite (Albania),6/11/1991,EOT,Genc Ruli
Albania,Genc Ruli,Individual,Finance / Economy / Commerce / Trade Ministry (Albania),6/11/1991,12/18/1991,Genc Ruli
Albania,Genc Ruli,Individual,Finance / Economy / Commerce / Trade Ministry (Albania),4/13/1992,11/10/1993,Genc Ruli
Albania,Gezim Podgorica,Individual,Ministry of Foreign Affairs,BOT,EOT,G. Podgorica ; G Podgorica ; Gezim Podgorica
Albania,Gjergj Lezhja,Individual,Elite (Albania),1/19/2007,EOT,Gjergj Lezhja
Albania,Gjergj Lezhja,Individual,Interior / Home Ministry (Albania),1/19/2007,3/20/2007,Gjergj Lezhja
Albania,Gramoz RuÃ§i,Individual,Assembly of the Republic of Albania,1/1/1997,EOT,Gramoz Ruci
Albania,Gramoz RuÃ§i,Individual,Cabinet (Albania),BOT,EOT,Gramoz Ruci
Albania,Gramoz RuÃ§i,Individual,Government (Ministry of Interior Affairs),2/22/1991,5/12/1991,Gramoz Ruci
Albania,Gramoz RuÃ§i,Individual,Socialist Party of Albania,1/1/1997,EOT,Gramoz Ruci
Albania,Hajredin Shyti,Individual,Elite (Albania),5/12/1991,EOT,Hajredin Shyti
Albania,Hajredin Shyti,Individual,Interior / Home Ministry (Albania),5/12/1991,6/11/1991,Hajredin Shyti
Albania,Halit Shamata,Individual,Elite (Albania),7/11/1996,EOT,Halit Shamata
Albania,Halit Shamata,Individual,Interior / Home Ministry (Albania),7/11/1996,3/11/1997,Halit Shamata
Albania,Haxhi Lleshi,Individual,Elite (Albania),1/1/1931,8/1/1953,Haxhi Lleshi
Albania,Haxhi Lleshi,Individual,Elite (Albania),11/22/1982,1/1/1998,Haxhi Lleshi
Albania,Haxhi Lleshi,Individual,Government (Albania),8/1/1953,11/22/1982,Haxhi Lleshi
Albania,Hektor FrashÃ«ri,Individual,Elite (Albania),12/4/1994,EOT,Hektor Frasheri
